,average_hh,2015_hh,diag.id,average_pov,2015_pov,average_ihh,2015_ihh,average_whh,2015_whh,2015_kids6,mean_kids6,2015_kids18,mean_kids18,nkids,marriage_status
0,3.6666666666666665,4.0,7655,,417.9184375,0.0,0.0,762.6756756756756,2650.0,0.0,1,2.0,2,2.0,1
1,3.1666666666666665,4.0,8540,76.0,312.0,0.0,0.0,300.7027027027027,1120.0,0.0,0,1.0,1,4.0,0
2,2.5,2.0,3815,204.83333333333334,252.0,14.736842105263158,0.0,484.8235294117647,60.0,0.0,0,0.0,0,3.0,4
3,4.333333333333333,4.0,3218,205.5,250.0,0.0,0.0,715.9459459459459,2120.0,0.0,1,2.0,2,2.0,1
4,5.666666666666667,5.0,6071,256.3333333333333,151.0,0.0,0.0,1222.3513513513512,4431.0,0.0,1,4.0,4,4.0,0
5,3.8333333333333335,6.0,6049,324.4,245.0,100.0,135.38571428571427,392.8888888888889,1719.4868822452715,2.0,1,3.0,2,3.0,2
6,4.166666666666667,5.0,1659,680.5,753.0,840.0,0.0,960.3513513513514,720.0,1.0,2,3.0,2,3.0,2
7,5.666666666666667,6.0,6876,9.0,0.0,0.0,0.0,221.64864864864865,0.0,1.0,1,4.0,4,4.0,1
8,2.0,2.0,3970,201.16666666666666,180.0,0.0,0.0,1035.5675675675675,3816.0,0.0,0,1.0,1,1.0,4
9,4.333333333333333,6.0,5634,306.8333333333333,291.0,0.0,0.0,765.1428571428571,2120.0,2.0,2,4.0,2,3.0,2
10,3.0,4.0,5339,371.0,267.0,0.0,0.0,1440.2702702702702,3445.0,2.0,1,2.0,1,2.0,2
11,2.1666666666666665,2.0,2988,567.6,417.9184375,0.0,0.0,887.972972972973,3286.0,0.0,0,0.0,0,0.0,1
12,4.0,4.0,8464,245.0,233.0,0.0,0.0,1042.8648648648648,2120.0,0.0,1,2.0,2,2.0,2
13,2.0,2.0,753,518.5,571.0,0.0,0.0,1210.837837837838,2756.0,0.0,0,0.0,0,0.0,0
14,4.0,5.0,7786,295.3333333333333,255.0,0.0,0.0,143.43243243243242,0.0,1.0,1,3.0,2,2.0,4
15,4.2,5.0,3349,1187.5,417.9184375,45.26315789473684,0.0,431.8484848484849,6.0,1.0,2,3.0,2,3.0,2
16,3.0,2.0,4699,882.6,417.9184375,39.5,135.38571428571427,437.0,1719.4868822452715,0.0,0,0.0,0,1.0,-4
17,2.6666666666666665,2.0,4777,485.8333333333333,252.0,516.8421052631579,1643.0,585.1081081081081,1643.0,0.0,0,0.0,0,0.0,0
18,4.0,5.0,5803,149.83333333333334,350.0,0.0,0.0,660.027027027027,2000.0,1.0,1,3.0,2,3.0,1
19,2.5,5.0,5178,295.5,616.0,0.0,0.0,1104.8108108108108,0.0,0.0,0,3.0,0,0.0,4
20,3.0,6.0,4126,283.2,562.0,5.684210526315789,0.0,292.02702702702703,2120.0,2.0,0,2.0,0,2.0,2
21,2.8333333333333335,3.0,8943,74.8,16.0,0.0,0.0,655.1666666666666,0.0,1.0,1,2.0,1,2.0,0
22,4.0,4.0,5278,225.0,304.0,0.0,0.0,1044.6756756756756,2650.0,0.0,0,2.0,2,2.0,1
23,3.0,3.0,3559,325.0,417.9184375,0.0,0.0,358.1081081081081,1992.0,1.0,1,1.0,1,1.0,1
24,4.833333333333333,4.0,8892,59.0,71.0,17.894736842105264,0.0,241.94285714285715,480.0,0.0,0,1.0,1,0.0,0
25,3.0,4.0,1698,557.5,721.0,0.0,0.0,1117.0,840.0,1.0,1,2.0,1,2.0,1
26,3.1666666666666665,4.0,2128,453.5,436.0,0.0,0.0,697.8108108108108,2120.0,2.0,1,2.0,1,2.0,2
27,2.0,1.0,2370,355.8,286.0,0.0,0.0,472.0810810810811,2120.0,0.0,0,0.0,0,0.0,0
28,4.666666666666667,3.0,1228,365.6666666666667,110.0,237.3684210526316,0.0,748.1891891891892,2650.0,1.0,1,1.0,2,1.0,1
29,3.6666666666666665,5.0,4963,167.33333333333334,158.0,0.0,0.0,613.2702702702703,1696.0,0.0,0,2.0,2,2.0,1
30,3.8,4.0,3324,958.8,1819.0,112.36842105263158,0.0,1213.972972972973,2120.0,0.0,1,2.0,2,2.0,2
31,2.0,2.0,8384,187.2,230.0,0.0,0.0,715.5675675675676,1880.0,0.0,0,1.0,1,1.0,0
32,8.166666666666666,9.0,7121,157.16666666666666,241.0,0.0,0.0,654.7297297297297,2120.0,1.0,2,3.0,2,2.0,2
33,2.0,1.0,3140,628.4,568.0,1131.157894736842,1722.0,1484.3513513513512,1722.0,0.0,0,0.0,0,0.0,0
34,3.5,3.0,4282,206.0,54.0,78.94736842105263,0.0,661.972972972973,1628.0,0.0,0,0.0,0,1.0,4
35,3.3333333333333335,4.0,5087,757.4,533.0,0.0,0.0,785.7714285714286,1108.0,1.0,1,2.0,1,2.0,2
36,4.166666666666667,4.0,4188,309.25,417.9184375,22.736842105263158,0.0,387.7837837837838,560.0,2.0,1,2.0,1,2.0,1
